L2,L2,L5,H2,L2,L3
BLANK,L3,H2,L2,H1,H2
BLANK,H1,L2,L3,L3,L1
H4,H4,L2,L5,L3,H5
BLANK,H1,W,L1,H2,L1
BLANK,H2,L2,L1,L1,L3
H1,L2,H1,H2,L3,L1
BLANK,L1,L5,L1,L1,L2
BLANK,L1,L2,H3,L2,L1
H5,H1,L1,L4,L4,L1
BLANK,L1,W,H3,L5,H1
BLANK,H2,L1,L5,L4,L2
BLANK,H1,L2,L4,L1,L2
L1,L1,L3,L1,L3,L2
L3,L1,L5,H4,H2,L4
L1,L2,L1,L5,L1,L2
L1,S,H2,L4,L5,H2
BLANK,L1,H2,L1,L1,L2
BLANK,L1,L4,L3,L2,L2
H2,L4,H5,W,H2,L2
H1,L1,L2,L3,L1,H1
BLANK,L2,L5,L2,L2,L4
HOLD,L2,L5,H2,L1,L2
L4,L3,H2,L3,L3,L3
L4,L3,L2,H2,L1,H2
BLANK,W,H3,L1,H3,L2
S,L1,H3,H1,L5,L2
BLANK,H1,L4,L2,L4,L1
BLANK,L5,L3,L5,L3,L1
BLANK,H2,H3,L2,L5,L1
BLANK,H3,S,L1,L1,L5
BLANK,L1,L3,L1,L2,L2
BLANK,H1,L1,L2,L3,L3
BLANK,H2,L4,L5,L2,H2
BLANK,L5,L4,L3,L1,L5
BLANK,H1,L2,L5,L1,H1
H1,W,L1,L3,L3,H2
L1,L5,H4,L1,L1,L2
L5,L2,H1,L3,L5,L3
BLANK,L3,L5,L2,S,L3
H1,L3,L1,H5,L2,L1
BLANK,L3,L5,L2,H2,L3
BLANK,H2,H2,H3,L3,L2
H2,L3,H1,L1,L2,L5
H2,L3,L2,L1,L3,H2
BLANK,S,H5,L5,S,H1
H3,W,L1,H3,H4,S
H1,H2,L2,W,L4,L2
BLANK,L4,H2,L1,H1,H2
BLANK,L5,L2,L5,L4,L5
BLANK,L3,L5,H3,L2,L2
H4,L4,L2,H2,H5,L2
H2,L2,S,L3,L2,L2
BLANK,L1,H2,H3,H2,L4
H2,L3,L4,L1,L2,L4
H3,L1,L1,L4,L1,H3
L2,L4,H1,H3,L1,L2
BLANK,L1,H2,L1,L3,L1
L1,L3,H4,L4,H3,L3
L3,H1,H1,L1,L2,H1
H1,H4,H2,L1,S,L4
H2,H2,L2,L5,W,H4
H1,L1,L1,L1,L2,H2
HOLD,H2,W,L1,H2,W
H2,L1,L3,L5,H2,L1
BLANK,L3,L1,H3,L5,L3
BLANK,L2,L4,H3,L4,L5
H3,H4,L1,L3,H1,L2
BLANK,L2,L2,L3,L1,H4
L4,L5,L3,L3,L1,L3
HOLD,L1,L5,L2,L3,L3
H1,S,L2,H2,L3,L2
BLANK,H3,L3,L1,H2,H4
L2,L2,L2,H4,L2,L4
BLANK,H3,H2,L3,H2,L3
L4,H3,L3,L4,W,H3
BLANK,L3,L1,L4,L3,L3
L5,L4,L2,L3,H2,H3
